Time,Truth,Reconstruction
2.0300000000000002,-7.8942697127422745,-5.845814792780135
2.04,-6.358845005457949,-5.07917999556356
2.05,-4.937209552903818,-4.302147042955201
2.06,-3.658121530714142,-3.54393508749965
2.07,-2.5382233875968008,-2.826590918655172
2.08,-1.5831992538824518,-2.1640816782600196
2.09,-0.7897510474675671,-1.5626357335903467
2.1,-0.1479210987737059,-1.02223146113751
2.11,0.3566201467152314,-0.538924845007804
2.12,0.7405719346906933,-0.10755773857635038
2.13,1.021409691699656,0.2756710375428649
2.14,1.216224256444211,0.6112507647225155
2.15,1.3409545952391735,0.8953731834533959
2.16,1.4099434225163396,1.120083839674772
2.17,1.43573705244723,1.2745295508364856
2.18,1.4290567124627385,1.347066775791544
2.19,1.3988810533612446,1.3278472202641034
2.2,1.3525937505485992,1.211416044828267
2.21,1.296163139840757,0.9988543024079555
2.22,1.2343315685451497,0.6990688776812575
2.23,1.1708003271435272,0.3289682283348889
2.24,1.1084019112885894,-0.08755973575697737
2.25,1.0492553905613748,-0.5217569862049697
2.2600000000000002,0.9949032912958905,-0.9429011073540274
2.27,0.9464300371010319,-1.321580836986869
2.2800000000000002,0.904562947806059,-1.6328484258882705
2.29,0.8697573072187537,-1.8587730875582917
2.3000000000000003,0.842267234605892,-1.9900202063059942
2.31,0.8222041436725537,-2.0262478821963024
2.32,0.8095845177565203,-1.9753155307466268
2.33,0.8043686168831197,-1.851500471658316
2.34,0.8064915901134099,-1.6730795080455807
2.35,0.8158883131450858,-1.459723025964495
2.36,0.832513117320441,-1.2301527949811766
2.37,0.85635542860266,-1.0004323573165994
2.38,0.8874521974828211,-0.7831085215571767
2.39,0.9258978751817988,-0.5872351115520935
2.4,0.9718525787563309,-0.4191238018312629
2.41,1.0255489878619253,-0.2835190492295936
2.42,1.0872984284662912,-0.18481431443059365
2.43,1.157496522846283,-0.1279307582778538
2.44,1.2366287195436316,-0.11856640780831891
2.45,1.3252759601361666,-0.16267581260443892
2.46,1.4241206900475911,-0.2652266274879842
2.47,1.5339533762631319,-0.42846227958784294
2.48,1.655679653580934,-0.6500409679502314
2.49,1.7903281804139861,-0.9214903378446845
2.5,1.9390592422151232,-1.2273975160819608
2.5100000000000002,2.10317409177553,-1.5456461260239303
2.52,2.2841249565625046,-1.8488330933174593
2.5300000000000002,2.4835255684355704,-2.106780440488871
2.54,2.7031619735312122,-2.2898412172568006
2.5500000000000003,2.9450032509559123,-2.372525509816772
2.56,3.211211596766463,-2.336876529510758
2.57,3.504151000071182,-2.1750290329726476
2.58,3.8263934322860274,-1.8904860581045553
2.59,4.180721065736179,-1.4978398844188365
2.6,4.570122505112492,-1.0209078948778296
2.61,4.997780320577269,-0.4895117415573441
2.62,5.467046274898734,0.064646010583711
2.63,5.981399495837143,0.6123995626633923
2.64,6.544381417381104,1.1311688281681982
2.65,7.159499568280528,1.6080309219697946
